team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Mexico National Team,Mexico,2026,Mexico,3,2,1,0,3,2,1,0,0,0,0,0,0,3,3,3,1,0,0,3,6,0,6,6,3,3,3,3,0,0,3,3,45,60,30,0,0,0,3,2,1,0,0,0,0,0,0,3,2,1,4,3,1,4,3,1,50,52,48,35,24,11,13,8,5,22,16,6,34,21,13,1,1,0,0,0,0,1,1,0,1,1,0,2,1,1,0,0,0,1.67,2,1,2,1.5,3,2,1.5,3,0,0,0,0.33,0.5,0,0.33,0.5,0,0,0,0,3,2,1,0,0,0,2,1,0,0,0,0,1,1,1,0,0,0,0,1,2,3,3,3,0,1,2,2,2,2,0,0,0,1,1,1,100,67,33,0,0,0,100,50,0,0,0,0,100,100,100,0,0,0,0,33,67,100,100,100,0,50,100,100,100,100,0,0,0,100,100,100,1,0,0,1,0,0,0,0,0,33,0,0,50,0,0,0,0,0,100,100,100,0,100,100,100,0,0,0,0,0,0,100,100,100,3,2,1,100,100,100,2,1,1,67,50,100,0,0,0,0,0,0,33,50,0,67,50,100,0,0,0,1.33,1.50,1.00,1.33,1.5,1.00,0,0,0,0,0,0,0,0,1.23,1.21,1.27,0.88,0.77,1.10,33,1,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria National Team,Algeria,2026,Algeria,3,1,2,0,1,0,1,1,1,0,1,0,1,1.33,1,1.5,3,0,0,27,5,7,-2,12,6,6,3,2,3,4,0,-2,54,30,90,39,30,45,0,0,0,2,1,1,1,0,1,0,0,0,12,0,12,1,0,1,63,65,62,36,12,24,13,5,8,23,7,16,17,3,14,1,1,0,3,1,2,-2,0,-2,0,0,0,1,1,0,2,0,2,0.33,1,0,4,6,3,1.67,3,1,2.33,3,2,1.33,2,1,0.33,1,0,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,2,2,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,2,2,2,100,100,100,33,33,33,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,67,67,67,0,0,0,0,0,0,0,0,0,100,100,100,3,1,0,1,1,0,2,0,0,100,33,0,100,100,0,100,0,0,33,0,50,26,0,0,0,67,100,50,33,0,50,0,0,0,0,0,0,0,0,0,2,0,2,67,0,100,1,1,0,33,100,0,0,0,0,33,100,0,67,0,100,4.00,0.00,6.00,0.33,0,0.50,33,33,33,33,33,0,0,0,1.47,1.44,1.49,1.11,1.13,1.10,0,0,0,0,0,1,1,1,0,2,0,1,1,1,0,2,0,1,1,33,100,0,33,0,50,0
Colombia National Team,Colombia,2026,Colombia,3,2,1,0,2,1,1,1,1,0,0,0,0,2.33,2,3,1,0,0,9,4,1,3,5,1,4,1,3,0,1,1,2,68,180,30,273,0,90,2,2,0,1,0,1,1,1,0,2,1,1,14,10,4,4,3,1,60,60,61,59,44,15,19,15,4,40,29,11,35,24,11,1,0,1,0,0,0,1,0,1,1,0,1,2,2,0,0,0,0,1.67,1,3,1.67,0.5,4,1.33,0.5,3,0.33,0,1,0.33,0,1,0.33,0,1,0,0,0,2,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,2,2,2,3,3,1,2,2,2,2,2,0,0,0,0,1,1,67,33,33,33,0,0,50,0,0,0,0,0,100,100,100,100,0,0,33,67,67,67,100,100,50,100,100,100,100,100,0,0,0,0,100,100,1,0,0,0,0,0,1,0,0,33,0,0,0,0,0,100,0,0,67,50,100,19,67,100,0,33,0,100,33,50,0,67,50,100,3,2,1,100,100,100,2,2,0,67,100,0,0,0,0,0,0,0,33,0,100,67,100,0,0,0,0,4.67,5.00,4.00,1.33,1.5,1.00,100,33,33,0,0,0,0,0,2.02,2.26,1.53,0.92,0.96,0.85,33,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,33,50,0,0,0,0,0
Senegal National Team,Senegal,2026,Senegal,3,1,2,0,1,1,0,0,0,0,2,0,2,1,3,0,3,0,0,31,8,6,2,14,5,9,5,3,0,6,5,-3,34,18,60,45,0,30,1,1,0,2,0,2,0,0,0,1,1,0,20,12,8,2,2,0,58,69,53,50,28,22,18,12,6,32,16,16,24,10,14,1,1,0,1,0,1,0,1,-1,1,1,0,1,0,1,1,0,1,1.33,3,0.5,4.67,5,4.5,2.67,5,1.5,2,0,3,0.67,1,0.5,0.33,1,0,0.33,0,0.5,3,3,3,3,2,0,1,1,1,1,1,0,2,2,2,2,1,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,2,100,100,100,100,67,0,100,100,100,100,100,0,100,100,100,100,50,0,0,0,0,0,33,100,0,0,0,0,0,100,0,0,0,0,50,100,2,0,0,1,0,0,1,0,0,67,0,0,100,0,0,50,0,0,33,100,0,94,33,100,0,67,0,100,0,0,0,33,100,0,2,1,1,67,100,50,2,0,2,67,0,100,0,0,0,0,0,0,33,100,0,33,0,50,33,0,50,6.67,12.00,4.00,0.67,2,0.00,100,100,100,67,33,33,33,33,1.90,3.24,1.23,1.20,0.56,1.53,167,1,0,0,0,0,3,0,1,3,0,0,0,0,2,1,1,0,2,0,0,0,67,0,100,33
Canada National Team,Canada,2026,Canada,4,2,2,0,2,1,1,1,1,0,1,0,1,1.75,2,1.5,2,0,0,8,9,3,6,12,8,4,7,2,1,2,6,0,40,26,90,120,180,90,2,1,1,2,1,1,0,0,0,2,1,1,39,28,11,7,3,4,57,70,44,70,45,25,28,14,14,42,31,11,48,19,29,3,3,0,1,1,0,2,2,0,1,1,0,2,0,2,1,1,0,1.25,1.5,1,3,4,2,2.25,3.5,1,0.75,0.5,1,1,2,0,0.75,1.5,0,0.25,0.5,0,4,3,2,1,1,1,2,2,1,1,1,1,2,1,1,0,0,0,0,1,2,3,3,3,0,0,1,1,1,1,0,1,1,2,2,2,100,75,50,25,25,25,100,100,50,50,50,50,100,50,50,0,0,0,0,25,50,75,75,75,0,0,50,50,50,50,0,50,50,100,100,100,2,1,1,2,1,1,0,0,0,50,25,25,100,50,50,0,0,0,50,50,50,45,50,50,50,50,50,50,0,0,0,50,50,50,3,1,2,75,50,100,3,1,2,75,50,100,0,0,0,0,0,0,25,50,0,50,0,100,25,50,0,9.75,14.00,5.50,1.75,1.5,2.00,75,75,75,50,50,50,50,25,2.20,2.75,1.65,0.62,0.52,0.73,25,0,1,1,0,1,0,1,3,2,0,0,1,0,1,1,0,0,0,25,50,0,25,0,50,25
South Africa National Team,South Africa,2026,South Africa,4,2,2,0,1,1,0,1,0,1,2,1,1,1,1.5,0.5,2,0,0,23,2,4,-2,6,2,4,1,1,1,3,0,-2,180,180,180,90,180,60,1,1,0,1,0,1,2,1,1,1,1,0,11,5,6,9,1,8,48,45,51,39,19,20,11,5,6,28,14,14,38,17,21,0,0,0,2,0,2,-2,0,-2,0,0,0,2,2,0,2,0,2,0.5,1,0,1.5,1,2,0.5,0.5,0.5,1,0.5,1.5,0.5,0,1,0,0,0,0.5,0,1,4,2,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,2,4,4,4,4,0,2,2,2,2,2,0,0,2,2,2,2,100,50,0,0,0,0,100,0,0,0,0,0,100,100,0,0,0,0,0,50,100,100,100,100,0,100,100,100,100,100,0,0,100,100,100,100,2,0,0,0,0,0,2,0,0,50,0,0,0,0,0,100,0,0,25,50,0,25,25,50,0,25,0,50,50,50,50,25,50,0,2,2,0,50,100,0,4,2,2,100,100,100,0,0,0,0,0,0,0,0,0,50,100,0,50,0,100,2.75,2.50,3.00,2.25,0.5,4.00,50,50,50,50,0,0,0,0,1.02,0.94,1.10,1.46,1.51,1.41,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,1,25,0,50,50,50,50,0
Haiti National Team,Haiti,2026,Haiti,3,1,2,0,0,0,0,0,0,0,3,1,2,0,0,0,4,0,0,45,2,8,-6,10,1,9,0,2,1,7,-1,-5,134,0,90,34,90,26,0,0,0,1,0,1,2,1,1,1,0,1,9,4,5,7,1,6,43,54,37,31,15,16,7,2,5,24,13,11,55,23,32,2,0,2,6,1,5,-4,-1,-3,0,0,0,1,0,1,2,1,1,0.33,0,0.5,3.33,1,4.5,0.67,0,1,2.67,1,3.5,2.67,1,3.5,0.67,0,1,2,1,2.5,3,2,2,1,1,1,1,0,0,0,0,0,2,2,2,1,1,1,0,1,1,2,2,2,0,1,1,1,1,1,0,0,0,1,1,1,100,67,67,33,33,33,100,0,0,0,0,0,100,100,100,50,50,50,0,33,33,67,67,67,0,100,100,100,100,100,0,0,0,50,50,50,3,2,2,1,0,0,2,2,2,100,67,67,100,0,0,100,100,100,0,0,0,-19,0,0,0,33,0,50,67,100,50,33,0,50,0,0,0,0,0,0,2,1,1,67,100,50,1,0,1,33,0,50,0,0,0,33,0,50,67,100,50,3.00,4.00,2.50,2.33,1,3.00,100,67,33,33,0,0,0,0,1.05,1.43,0.86,1.58,0.99,1.88,100,1,0,0,0,1,0,0,0,0,0,0,2,2,2,0,0,1,1,0,0,0,100,100,100,0
Curaçao National Team,Curaçao,2026,Curaçao,3,1,2,0,0,0,0,1,0,1,2,1,1,0.33,0,0.5,4,0,0,40,1,9,-8,10,2,8,0,1,2,7,-2,-6,273,0,180,30,45,26,1,0,1,1,0,1,2,1,1,0,0,0,5,4,1,7,2,5,32,37,30,29,11,18,7,2,5,22,9,13,32,11,21,1,0,1,4,1,3,-3,-1,-2,0,0,0,1,0,1,2,1,1,0.33,0,0.5,3.33,2,4,0.33,0,0.5,3,2,3.5,1.67,1,2,0.33,0,0.5,1.33,1,1.5,2,2,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,0,0,1,1,1,1,1,1,1,1,1,1,67,67,33,33,33,33,100,100,0,0,0,0,50,50,50,50,50,50,33,33,67,67,67,67,0,0,100,100,100,100,50,50,50,50,50,50,2,1,1,1,0,0,1,1,1,67,33,33,100,0,0,50,50,50,0,0,0,-34,33,0,50,33,0,50,67,100,50,0,0,0,1,0,1,33,0,50,2,1,1,67,100,50,1,0,1,33,0,50,0,0,0,33,0,50,67,100,50,1.67,4.00,0.50,2.33,2,2.50,100,100,100,33,0,0,0,0,0.97,1.11,0.90,2.52,1.06,3.25,133,0,0,1,0,0,0,0,0,0,2,0,0,1,2,0,2,1,1,33,0,50,67,100,50,0
Paraguay National Team,Paraguay,2026,Paraguay,4,1,3,0,1,0,1,2,1,1,1,0,1,1.25,1,1.33,3,0,0,17,3,5,-2,8,0,8,0,3,0,5,0,-2,120,0,90,72,0,54,2,1,1,2,0,2,1,1,0,2,0,2,8,1,7,11,1,10,31,44,27,30,7,23,8,2,6,22,5,17,53,9,44,2,0,2,3,0,3,-1,0,-1,2,0,2,1,1,0,1,0,1,1.75,1,2,2,0,2.67,0.75,0,1,1.25,0,1.67,1.25,0,1.67,0.5,0,0.67,0.75,0,1,3,2,1,1,1,0,0,0,0,0,0,0,3,2,1,1,1,0,1,2,3,3,3,4,1,1,1,1,1,1,0,1,2,2,2,3,75,50,25,25,25,0,0,0,0,0,0,0,100,67,33,33,33,0,25,50,75,75,75,100,100,100,100,100,100,100,0,33,67,67,67,100,3,1,1,0,0,0,3,1,1,75,25,25,0,0,0,100,33,33,25,0,33,0,50,100,33,50,0,67,25,100,0,50,0,67,3,1,2,75,100,67,2,1,1,50,100,33,0,0,0,0,0,0,50,0,67,25,100,0,25,0,33,2.00,1.00,2.33,2.75,1,3.33,50,50,50,50,50,50,25,25,0.81,0.75,0.82,2.39,1.44,2.70,25,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,50,100,33,25,0,33,25
Morocco National Team,Morocco,2026,Morocco,4,1,3,0,2,1,1,2,0,2,0,0,0,2,3,1.67,2,0,0,7,7,4,3,11,6,5,4,3,2,2,2,1,51,23,90,90,45,134,1,0,1,3,1,2,0,0,0,2,0,2,24,9,15,2,0,2,62,69,59,59,22,37,21,11,10,38,11,27,47,10,37,4,2,2,3,2,1,1,0,1,1,0,1,3,1,2,0,0,0,1.5,1,1.67,2.75,6,1.67,1.75,4,1,1,2,0.67,1.75,4,1,1,2,0.67,0.75,2,0.33,4,3,1,1,1,1,1,1,1,1,1,1,3,2,0,0,0,0,0,1,3,3,3,3,0,0,0,0,0,0,0,1,3,3,3,3,100,75,25,25,25,25,100,100,100,100,100,100,100,67,0,0,0,0,0,25,75,75,75,75,0,0,0,0,0,0,0,33,100,100,100,100,3,2,1,1,1,1,2,1,0,75,50,25,100,100,100,67,33,0,50,100,33,15,25,0,33,75,100,67,0,0,0,50,0,67,2,0,2,50,0,67,1,0,1,25,0,33,2,1,1,50,100,33,25,0,33,75,100,67,0,0,0,6.00,9.00,5.00,0.5,0,0.67,100,75,50,50,25,25,25,0,1.66,2.60,1.35,0.91,0.81,0.94,75,1,0,1,1,1,0,0,1,2,1,0,0,1,1,0,0,1,0,50,0,67,0,0,0,0
Egypt National Team,Egypt,2026,Egypt,3,1,2,0,1,0,1,2,1,1,0,0,0,1.67,1,2,2,0,0,20,5,3,2,8,2,6,1,4,1,2,0,2,54,90,45,90,90,90,0,0,0,3,1,2,0,0,0,2,1,1,18,8,10,6,3,3,54,61,51,48,15,33,13,3,10,35,12,23,34,11,23,2,1,1,2,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1.33,1,1.5,2.67,2,3,1.67,1,2,1,1,1,1.33,2,1,0.67,1,0.5,0.67,1,0.5,3,3,1,1,0,0,1,1,0,0,0,0,2,2,1,1,0,0,0,0,2,2,3,3,0,0,1,1,1,1,0,0,1,1,2,2,100,100,33,33,0,0,100,100,0,0,0,0,100,100,50,50,0,0,0,0,67,67,100,100,0,0,100,100,100,100,0,0,50,50,100,100,3,1,0,1,1,0,2,0,0,100,33,0,100,100,0,100,0,0,33,0,50,0,0,0,0,100,100,100,0,0,0,67,100,50,1,0,1,33,0,50,1,0,1,33,0,50,1,1,0,33,100,0,33,0,50,33,100,0,33,0,50,6.00,8.00,5.00,2,3,1.50,100,67,67,33,0,0,0,0,1.63,1.50,1.70,1.46,1.38,1.49,100,1,1,0,0,0,1,1,0,1,0,2,0,0,0,0,1,0,0,67,100,50,0,0,0,0
Tunisia National Team,Tunisia,2026,Tunisia,3,2,1,0,0,0,0,0,0,0,3,2,1,0,0,0,4,0,0,47,2,12,-10,14,8,6,1,1,7,5,-6,-4,134,180,90,23,26,18,0,0,0,2,1,1,1,1,0,0,0,0,9,7,2,1,0,1,39,34,51,18,12,6,6,4,2,12,8,4,27,19,8,1,0,1,6,4,2,-5,-4,-1,0,0,0,0,0,0,3,2,1,0,0,0,4.67,4,6,0.67,0.5,1,4,3.5,5,2.33,2,3,0.33,0,1,2,2,2,3,3,3,3,1,1,2,2,2,2,0,0,1,1,1,1,1,1,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,100,100,100,100,33,33,100,100,100,100,0,0,100,100,100,100,100,100,0,0,0,0,67,67,0,0,0,0,100,100,0,0,0,0,0,0,3,3,1,2,2,0,1,1,1,100,100,33,100,100,0,100,100,100,0,0,0,-6,0,0,0,67,50,100,33,50,0,0,0,0,0,0,0,0,0,0,2,2,0,67,100,0,1,0,1,33,0,100,0,0,0,0,0,0,100,100,100,3.00,3.50,2.00,0.33,0,1.00,67,67,33,33,0,0,0,0,0.73,0.69,0.83,1.76,1.83,1.63,100,0,0,0,0,1,1,0,0,0,4,0,1,1,0,1,2,0,3,0,0,0,100,100,100,0
Panama National Team,Panama,2026,Panama,3,2,1,0,0,0,0,0,0,0,3,2,1,0,0,0,4,0,0,48,0,4,-4,4,3,1,0,0,3,1,-3,-1,0,0,0,68,60,90,0,0,0,0,0,0,3,2,1,0,0,0,12,10,2,5,3,2,46,38,62,32,21,11,7,3,4,25,18,7,46,35,11,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,1,1,1,1.33,1.5,1,0,0,0,1.33,1.5,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,3,3,3,3,0,1,2,2,2,2,0,1,1,1,1,1,100,33,0,0,0,0,100,50,0,0,0,0,100,0,0,0,0,0,0,67,100,100,100,100,0,50,100,100,100,100,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,100,100,100,0,0,0,3,2,1,100,100,100,3,2,1,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,4.00,5.00,2.00,1.67,1.5,2.00,67,67,67,33,0,0,0,0,1.18,1.06,1.41,1.22,1.42,0.85,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,100,100,100,0
New Zealand National Team,New Zealand,2026,New Zealand,3,2,1,0,0,0,0,1,0,1,2,2,0,0.33,0,1,4,0,0,41,4,10,-6,14,10,4,2,2,8,2,-6,0,68,90,45,27,23,45,0,0,0,3,2,1,0,0,0,2,1,1,10,9,1,4,4,0,47,45,51,31,17,14,15,7,8,16,10,6,32,24,8,2,1,1,2,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1.33,1.5,1,4.67,5,4,1.33,1,2,3.33,4,2,1.33,1,2,0.67,0.5,1,0.67,0.5,1,3,3,3,3,1,1,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,1,100,100,100,100,33,33,100,100,100,100,50,50,100,100,100,100,0,0,0,0,0,0,67,67,0,0,0,0,50,50,0,0,0,0,100,100,3,1,0,2,0,0,1,1,0,100,33,0,100,0,0,100,100,0,0,0,0,-23,0,0,0,100,100,100,0,0,0,67,50,100,1,1,0,33,50,0,1,1,0,33,50,0,1,0,1,33,0,100,33,50,0,33,0,100,33,50,0,3.33,4.50,1.00,1.33,2,0.00,67,33,33,33,33,33,33,0,1.29,1.06,1.77,2.40,2.73,1.75,133,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,3,0,3,33,0,100,67,100,0,0
Cape Verde Islands National Team,Cape Verde Islands,2026,Cape Verde,3,1,2,0,0,0,0,3,1,2,0,0,0,1,1,1,2,0,0,32,2,2,0,4,0,4,0,2,0,2,0,0,134,0,90,134,0,90,2,1,1,1,0,1,2,1,1,1,0,1,9,4,5,4,1,3,37,51,31,33,15,18,7,2,5,26,13,13,15,10,5,1,0,1,2,0,2,-1,0,-1,0,0,0,2,1,1,1,0,1,0.67,1,0.5,1.33,0,2,0.67,0,1,0.67,0,1,1,0,1.5,0.33,0,0.5,0.67,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,2,2,2,3,3,1,1,1,1,1,1,1,1,1,1,2,2,33,33,33,33,0,0,0,0,0,0,0,0,50,50,50,50,0,0,67,67,67,67,100,100,100,100,100,100,100,100,50,50,50,50,100,100,1,1,1,0,0,0,1,1,1,33,33,33,0,0,0,50,50,50,0,0,0,0,67,100,50,33,0,50,67,100,50,33,0,50,2,1,1,67,100,50,2,1,1,67,100,50,1,0,1,33,0,50,0,0,0,67,100,50,33,0,50,3.00,4.00,2.50,1.33,1,1.50,67,67,67,67,67,67,33,33,1.05,1.45,0.84,1.98,0.96,2.50,33,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,100,100,100,0,0,0,33
Czech Republic National Team,Czech Republic,2026,Czech Republic,3,2,1,0,0,0,0,1,1,0,2,1,1,0.33,0.5,0,4,0,0,42,2,6,-4,8,5,3,1,1,4,2,-3,-1,134,180,90,45,45,45,0,0,0,2,1,1,1,1,0,2,1,1,15,10,5,1,1,0,43,45,38,34,27,7,8,4,4,26,23,3,37,21,16,1,1,0,0,0,0,1,1,0,1,1,0,2,1,1,0,0,0,1.67,2,1,2.67,2.5,3,0.67,0.5,1,2,2,2,0.33,0.5,0,0.33,0.5,0,0,0,0,3,3,2,0,0,0,2,2,1,0,0,0,1,1,1,0,0,0,0,0,1,3,3,3,0,0,1,2,2,2,0,0,0,1,1,1,100,100,67,0,0,0,100,100,50,0,0,0,100,100,100,0,0,0,0,0,33,100,100,100,0,0,50,100,100,100,0,0,0,100,100,100,1,0,0,1,0,0,0,0,0,33,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,67,50,100,33,50,0,67,50,100,3,2,1,100,100,100,2,1,1,67,50,100,0,0,0,0,0,0,33,50,0,67,50,100,0,0,0,5.00,5.00,5.00,0.33,0.5,0.00,67,67,67,33,0,0,0,0,1.15,1.21,1.04,1.52,1.46,1.65,67,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,2,33,50,0,67,50,100,0
Sweden National Team,Sweden,2026,Sweden,4,1,3,0,1,1,0,1,0,1,2,0,2,1,3,0.33,3,0,0,26,7,10,-3,17,6,11,5,2,1,9,4,-7,51,18,134,36,90,30,0,0,0,3,1,2,1,0,1,1,1,0,18,4,14,5,0,5,46,49,45,46,13,33,22,7,15,24,6,18,43,10,33,2,2,0,4,1,3,-2,1,-3,1,1,0,1,0,1,2,0,2,1,3,0.33,4.25,6,3.67,1.75,5,0.67,2.5,1,3,1.5,3,1,0.5,2,0,1,1,1,4,4,3,2,2,2,1,1,1,1,1,1,3,3,2,1,1,1,0,0,1,2,2,2,0,0,0,0,0,0,0,0,1,2,2,2,100,100,75,50,50,50,100,100,100,100,100,100,100,100,67,33,33,33,0,0,25,50,50,50,0,0,0,0,0,0,0,0,33,67,67,67,3,2,1,1,1,1,2,1,0,75,50,25,100,100,100,67,33,0,25,100,0,123,0,0,0,75,100,67,25,0,33,25,100,0,1,0,1,25,0,33,3,0,3,75,0,100,1,1,0,25,100,0,25,100,0,25,0,33,50,0,67,4.50,4.00,4.67,1.25,0,1.67,75,50,50,50,0,0,0,0,1.46,1.63,1.41,1.54,0.83,1.77,125,1,0,1,0,0,2,1,0,2,1,1,0,0,3,3,0,1,1,25,0,33,50,0,67,0
